des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
2-BUCKEYE,False,69,43.07453833333334,-89.27810166666669,1,1229833,56521,327,EMPTY,C,0,2025-09-27,23940,213C,1229833,20250927 07:25,145,,2025-09-27T07:25:21.469757
1-SPRECHER,False,46,43.07234338873103,-89.38338220719764,1,1229818,18342,349,EMPTY,C,22,2025-09-27,25740,215C,1229818,20250927 07:25,2013,,2025-09-27T07:25:21.469762
U.W. HOSPITAL,False,211,43.089041951528735,-89.35769061423362,1,1229853,27419,508,EMPTY,C,10,2025-09-27,25680,211C,1229853,20250927 07:25,125,,2025-09-27T07:25:21.469762
FITCHBURG-CADDIS,False,250,43.13372866896425,-89.37349876436433,1,1229316,83,506332,EMPTY,B,11,2025-09-27,26580,232B,1229316,20250927 07:25,2331,,2025-09-27T07:25:23.767103
FITCHBURG-CADDIS,False,222,43.09077291193995,-89.36149664904758,1,1229266,37486,506332,EMPTY,B,34,2025-09-27,25680,236B,1229266,20250927 07:25,2308,,2025-09-27T07:25:23.767107
FITCHBURG-CADDIS,False,200,43.07076008425898,-89.40105135050996,1,1229317,51802,506332,EMPTY,B,1,2025-09-27,24780,233B,1229317,20250927 07:25,2359,,2025-09-27T07:25:23.767107
FITCHBURG-CADDIS,False,51,43.01958333333334,-89.42093000000001,1,1229265,76997,506332,EMPTY,B,0,2025-09-27,23880,235B,1229265,20250927 07:25,2347,,2025-09-27T07:25:23.767108
NORTHPORT,False,28,43.03796414321486,-89.40423512037879,1,1229261,8647,506333,EMPTY,B,31,2025-09-27,26460,231B,1229261,20250927 07:25,2304,,2025-09-27T07:25:23.767109
NORTHPORT,False,36,43.07457,-89.38217,1,1229205,30991,506333,EMPTY,B,0,2025-09-27,25080,234B,1229205,20250927 07:25,2312,,2025-09-27T07:25:23.767109
CAPITOL SQUARE,False,56,43.017327740631146,-89.51104490662834,1,1230576,3760,506369,EMPTY,E,0,2025-09-27,26400,212E,1230576,20250927 07:25,147,,2025-09-27T07:25:26.034446
JUNCTION,False,264,43.12107496245586,-89.32462822325016,1,1228767,25691,506325,EMPTY,A,0,2025-09-27,25860,211A,1228767,20250927 07:25,2342,,2025-09-27T07:25:28.339268
JUNCTION,False,262,43.072933388241744,-89.4578643769608,1,1228768,71160,506325,EMPTY,A,20,2025-09-27,24060,216A,1228768,20250927 07:25,2338,,2025-09-27T07:25:28.339272
1-SUN PRAIRIE VIA HIGH CROSSING,False,79,43.07337672796176,-89.42383944453353,1,1228712,33632,506327,EMPTY,A,42,2025-09-27,25620,214A,1228712,20250927 07:25,2343,,2025-09-27T07:25:28.339272
1-SUN PRAIRIE VIA HIGH CROSSING,True,6,43.15685833333334,-89.26689166666665,1,1228711,95479,506327,EMPTY,A,0,2025-09-27,22680,213A,1228711,20250927 07:25,2327,,2025-09-27T07:25:28.339273
2-AMERICAN CENTER VIA HIGH CROSSING,False,136,43.11966769286286,-89.3224358871318,1,1228685,71114,506328,EMPTY,A,27,2025-09-27,23580,212A,1228685,20250927 07:25,2354,,2025-09-27T07:25:28.339273
JUNCTION VIA HIGH CROSSING,False,316,43.075773278951466,-89.38346677418656,1,1228714,51148,506331,EMPTY,A,13,2025-09-27,24960,217A,1228714,20250927 07:25,2315,,2025-09-27T07:25:28.339274
JUNCTION VIA HIGH CROSSING,False,0,43.0578461,-89.5283356,1,1228731,96696,506331,EMPTY,A,7,2025-09-27,23160,215A,1228731,20250927 07:25,2352,,2025-09-27T07:25:28.339275
2-VERONA,False,226,43.07528711465899,-89.39103033351668,1,1230265,35140,435,EMPTY,D,11,2025-09-27,25380,221D,1230265,20250927 07:25,148,,2025-09-27T07:25:30.647469
1-JUNCTION,False,0,43.05686043591797,-89.52747706359432,1,1230281,91633,448,EMPTY,D,17,2025-09-27,23280,213D,1230281,20250927 07:25,138,,2025-09-27T07:25:30.647473
2-AIRPORT,True,359,42.98671,-89.55308,1,1230246,16,1297,EMPTY,D,0,2025-09-27,26700,222D,1230246,20250927 07:25,131,,2025-09-27T07:25:30.647474
2-AIRPORT,False,1,43.133912661796025,-89.34655468676029,1,1230245,100176,1297,EMPTY,D,23,2025-09-27,23160,223D,1230245,20250927 07:25,135,,2025-09-27T07:25:30.647475
1-SPRECHER,False,48,43.05290069280627,-89.43520816217041,1,1230229,32131,505941,EMPTY,D,16,2025-09-27,25620,211D,1230229,20250927 07:25,2007,,2025-09-27T07:25:30.647475
1-SPRECHER,False,249,43.08584333333333,-89.26468500000001,1,1230228,92700,505941,EMPTY,D,0,2025-09-27,22020,212D,1230228,20250927 07:25,106,,2025-09-27T07:25:30.647476
SHEBOYGAN VIA MIDDLETON,False,90,43.09007156224619,-89.52489625627058,1,1230784,16781,506311,EMPTY,F,0,2025-09-27,26220,212F,1230784,20250927 07:25,120,,2025-09-27T07:25:32.972314
JUNCTION VIA MIDDLETON,False,170,43.09024034968197,-89.52463991591132,1,1230815,38862,506313,EMPTY,F,13,2025-09-27,25560,211F,1230815,20250927 07:25,1913,,2025-09-27T07:25:32.972318
