des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,is_event_day,route_affected_by_event,has_construction,construction_count
BROOKS,False,132,43.05521703680745,-89.49424523234134,1,1231789,6045,506535,EMPTY,J,30,2025-11-06,55200,113G,1231789,20251106 15:25,134,,2025-11-06T15:25:27.221476,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
BROOKS,False,5,43.07259666666667,-89.40052166666668,1,1231772,44997,506535,EMPTY,J,0,2025-11-06,53400,118G,1231772,20251106 15:25,2004,,2025-11-06T15:25:27.383432,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
WEST TOWNE,False,246,43.05367072336682,-89.4587271206385,1,1231819,27334,506536,EMPTY,J,17,2025-11-06,54300,112G,1231819,20251106 15:25,130,,2025-11-06T15:25:27.383432,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
2-EPIC CAMPUS,False,226,43.08521212625413,-89.37694992582361,1,1230214,30604,1302,EMPTY,D,0,2025-11-06,54240,181D,1230214,20251106 15:25,143,,2025-11-06T15:25:29.687377,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
2-EPIC CAMPUS,False,274,43.02894934119994,-89.4589885710448,1,1230171,64099,1302,HALF_EMPTY,D,8,2025-11-06,52440,121D,1230171,20251106 15:25,110,,2025-11-06T15:25:29.687377,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-SPRECHER,False,105,43.05351640849875,-89.45930200857076,1,1230149,24214,506006,EMPTY,D,33,2025-11-06,54540,115C,1230149,20251106 15:25,145,,2025-11-06T15:25:29.687377,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-SPRECHER,False,33,43.098496742618956,-89.35650747632688,1,1230107,59782,506006,EMPTY,D,19,2025-11-06,52800,114E,1230107,20251106 15:25,1901,,2025-11-06T15:25:29.687377,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-SPRECHER,False,157,43.085713333333324,-89.26458499999998,1,1230147,92704,506006,EMPTY,D,0,2025-11-06,51000,113C,1230147,20251106 15:25,987,,2025-11-06T15:25:29.687377,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-JUNCTION,False,268,43.09828972699409,-89.32649372585561,1,1230188,24159,506009,EMPTY,D,20,2025-11-06,54780,115D,1230188,20251106 15:25,2208,,2025-11-06T15:25:29.687377,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-JUNCTION,False,184,43.072236893304115,-89.40409231810504,1,1230213,49596,506009,FULL,D,0,2025-11-06,52980,114D,1230213,20251106 15:25,101,,2025-11-06T15:25:29.687377,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
