des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
MEMORIAL UNION VIA OBSERVATORY/BREESE,False,91,43.06765373365814,-89.40562465434995,1,1228462,16202,335,EMPTY,82,18,2025-11-15,69600,6182,1228462,20251115 19:37,996,,2025-11-15T19:37:46.394859,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
1-SPRECHER,False,53,43.07650815689318,-89.38734315127232,1,1230241,48663,392,HALF_EMPTY,D,13,2025-11-15,68700,211D,1230241,20251115 19:37,153,,2025-11-15T19:37:48.663312,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
2-VERONA,False,220,43.05220542495344,-89.43638508110067,1,1230277,50739,435,EMPTY,D,30,2025-11-15,68460,221D,1230277,20251115 19:37,142,,2025-11-15T19:37:48.663312,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
1-JUNCTION,False,271,43.09990969643597,-89.3367674803705,1,1230294,26840,448,EMPTY,D,5,2025-11-15,69900,212D,1230294,20251115 19:37,132,,2025-11-15T19:37:48.663312,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
1-JUNCTION,False,180,43.057649999999995,-89.52812166666666,1,1230293,92156,448,EMPTY,D,0,2025-11-15,66120,213D,1230293,20251115 19:37,150,,2025-11-15T19:37:48.663312,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
2-AIRPORT,False,180,43.012720743368,-89.48077,1,1230258,27398,1297,EMPTY,D,10,2025-11-15,69780,222D,1230258,20251115 19:37,123,,2025-11-15T19:37:48.663312,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
2-AIRPORT,False,18,43.13732166666667,-89.34654833333335,1,1230257,101384,1297,EMPTY,D,0,2025-11-15,66180,223D,1230257,20251115 19:37,133,,2025-11-15T19:37:48.663312,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MEMORIAL UNION VIA JOHNSON/WASHINGTON,False,271,43.07322166666666,-89.39629500000001,1,1228384,20463,444,EMPTY,81,28,2025-11-15,68700,6181,1228384,20251115 19:37,998,,2025-11-15T19:37:50.951387,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MCKEE,False,270,43.06787082098042,-89.40908380624484,1,1230605,8341,467,EMPTY,E,23,2025-11-15,69960,211E,1230605,20251115 19:37,121,,2025-11-15T19:37:53.212342,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
CAPITOL SQUARE,False,91,43.068083574745756,-89.44923927759831,1,1230588,38229,479,EMPTY,E,23,2025-11-15,69600,212E,1230588,20251115 19:37,2011,,2025-11-15T19:37:53.212342,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,275,43.07589500000001,-89.40022166666668,1,1228076,41436,386,HALF_EMPTY,80,0,2025-11-15,68400,6180,1228076,20251115 19:37,119,,2025-11-15T19:37:55.481256,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
JUNCTION VIA HIGH CROSSING,False,288,43.074895192708475,-89.43879467051465,1,1228726,67754,372,HALF_EMPTY,A,37,2025-11-15,68100,221A,1228726,20251115 19:37,2351,,2025-11-15T19:37:57.748456,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
2-AMERICAN CENTER,False,89,43.060635063203776,-89.50508935957085,1,1228710,7474,414,HALF_EMPTY,A,34,2025-11-15,70260,220A,1228710,20251115 19:37,2315,,2025-11-15T19:37:57.748456,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
2-AMERICAN CENTER,False,201,43.14511101694884,-89.29216522979911,1,1228709,89960,414,EMPTY,A,38,2025-11-15,67560,216A,1228709,20251115 19:37,2360,,2025-11-15T19:37:57.748456,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
1-SUN PRAIRIE VIA HIGH CROSSING,False,48,43.07358717377584,-89.3835583945687,1,1228665,45455,421,EMPTY,A,0,2025-11-15,68460,217A,1228665,20251115 19:37,2325,,2025-11-15T19:37:57.748456,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
JUNCTION VIA HIGH CROSSING,False,223,43.12678742124653,-89.31022229039287,1,1228743,22011,469,EMPTY,A,39,2025-11-15,69960,214A,1228743,20251115 19:37,2362,,2025-11-15T19:37:57.748456,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
JUNCTION VIA HIGH CROSSING,False,167,43.057939999999995,-89.52798833333333,1,1228769,96630,469,EMPTY,A,0,2025-11-15,66360,213A,1228769,20251115 19:37,2353,,2025-11-15T19:37:57.748456,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
SHEBOYGAN VIA MIDDLETON,False,205,43.089971446122064,-89.48613855594162,1,1230808,45012,347,EMPTY,F,0,2025-11-15,69360,212F,1230808,20251115 19:37,2013,,2025-11-15T19:38:00.022652,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
JUNCTION VIA MIDDLETON,False,31,43.07628512393078,-89.4673948127192,1,1230840,3961,481,EMPTY,F,16,2025-11-15,70560,213F,1230840,20251115 19:37,2205,,2025-11-15T19:38:00.022652,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
JUNCTION VIA MIDDLETON,False,205,43.05780500000001,-89.52812999999999,1,1230839,55963,481,EMPTY,F,0,2025-11-15,68760,211F,1230839,20251115 19:37,128,,2025-11-15T19:38:00.022652,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
2-BUCKEYE,False,237,43.078517108827256,-89.43291415751054,1,1229846,1376,327,EMPTY,C,17,2025-11-15,70620,212C,1229846,20251115 19:37,139,,2025-11-15T19:38:02.310857,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
1-SPRECHER,False,38,43.086814805690175,-89.35962764330138,1,1229830,27050,349,EMPTY,C,15,2025-11-15,68820,215C,1229830,20251115 19:37,152,,2025-11-15T19:38:02.310857,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
U.W. HOSPITAL,False,302,43.07417301330719,-89.39262709164693,1,1229865,40679,508,HALF_EMPTY,C,32,2025-11-15,68760,211C,1229865,20251115 19:37,2204,,2025-11-15T19:38:02.310857,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
U.W. HOSPITAL,False,218,43.07593072048025,-89.27766765104136,1,1229883,1441,515,EMPTY,C,20,2025-11-15,70380,213C,1229883,20251115 19:37,2015,,2025-11-15T19:38:02.310857,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
FITCHBURG-CADDIS,False,227,43.08209894162023,-89.37372816689869,1,1229320,42109,1278,EMPTY,B,0,2025-11-15,69300,259B,1229320,20251115 19:38,2308,,2025-11-15T19:38:04.602832,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
