X,Y,OBJECTID,stop_id,stop_name,stop_lat,stop_lon,Notes,LPA
-9952745.72970389,5322954.27999409,81,0,EB JOHNSON fs ORCHARD,43.07210276,-89.40703004,Relo back from ns Charter,1
-9951820.98936954,5322934.13286727,82,0,EB JOHNSON fs E CAMPUS MALL,43.07197055,-89.39872296,,3
-9950808.57381226,5323351.99966468,83,0,EB STATE fs JOHNSON,43.0747126,-89.38962828,,3
-9950096.75395885,5323201.48667815,84,0,EB MAIN ns MLK,43.07372495,-89.3832339,,3
-9950301.173058,5323502.61465064,85,0,WB MIFFLIN ns WISCONSIN,43.07570091,-89.38507022,,3
-9951007.44790259,5323376.31566832,86,0,WB STATE ns GORHAM,43.07487216,-89.3914148,,3
-9951833.07206169,5323142.74749789,87,0,WB UNIVERSITY ns E CAMPUS MALL,43.0733395,-89.3988315,,3
-9952755.17890891,5323159.59104664,88,0,WB UNIVERSITY ns ORCHARD ,43.07345003,-89.40711493,,1
-9944163.21076916,5330262.56906667,89,0,EB ANDERSON fs WRIGHT ,43.12004205,-89.32993198,,1
-9943172.15011698,5330103.43866334,90,0,EB EAST WASH fs MENDOTA ,43.11899862,-89.32102914,,1
-9942375.86495407,5330839.22167694,91,0,EB EAST WASH fs THIERER,43.12382305,-89.31387599,Relo to far side,1
-9942491.68296845,5330807.38154742,92,0,WB EAST WASH ns PARKSIDE ,43.12361428,-89.3149164,,1
-9943208.61150725,5330128.90913173,93,0,WB EAST WASH ns MENDOTA,43.11916563,-89.32135667,"Ex stop is far side, if using 51, keep FS. Move near side for Mendota cutoff",1
-9944132.91625398,5330290.53421442,94,0,WB ANDERSON ns WRIGHT ,43.12022541,-89.32965984,Relo east to allow for left turn,1
-9951799.53189725,5320577.55598007,95,0,PARK at FISH HATCHERY,43.05381752,-89.39632294,Relo from near side Midland,2
-9951403.90189466,5319907.45307398,96,0,PARK at CEDAR,43.04947634,-89.39404215,Relo to near side,2
-9953019.97706432,5316685.49960183,97,0,SB FISH HATCHERY fs GREENWAY,43.03095231,-89.40949365,,2
-9953339.24051591,5316064.27868786,98,0,NB FISH HATCHERY fs GREENWAY,43.0268729,-89.41236165,Relo closer to intersection,2
-9952374.86973148,5317857.26539814,99,0,WB BADGER ns FISH HATCHERY,43.03864629,-89.40369856,Add bus bulb,2
-9951346.66451048,5318047.43141824,100,0,WB HUGHES fs PARK,43.03851361,-89.39469642,,2
-9951297.09653115,5318719.21255354,101,0,PARK at BURR OAK,43.04430533,-89.39401676,,2
-9952048.7385289,5321125.79474457,102,0,PARK at ERIN,43.0601028,-89.40076887,,2
-9952062.12991787,5322326.13799882,103,0,NB PARK fs REGENT,43.06798066,-89.40088917,,2
-9958307.08729612,5323143.06029639,104,0,SB SEGOE ns SHEBOYGAN,43.07334156,-89.45698856,,1
-9959056.99584663,5323086.37794355,105,0,SHEBOYGAN at EAU CLAIRE,43.0729696,-89.4637251,Bulb,1
-9958281.51275057,5323147.24933233,106,0,NB SEGOE fs SHEBOYGAN,43.07336904,-89.45675882,,1
-9957704.03924927,5323444.42612373,107,0,UNIVERSITY at MIDVALE,43.07531909,-89.45157128,,1
-9956783.48784403,5323430.99805658,108,0,UNIVERSITY at SHOREWOOD,43.07523098,-89.44330183,Relo to the west,1
-9955677.42198279,5323147.90706172,109,0,UNIVERSITY at UNIVERSITY BAY,43.07337336,-89.43336588,,1
-9966203.59682128,5320826.79581036,110,0,JUNCTION TERMINAL PLATFORM 1,43.05814032,-89.52792409,,1
-9946586.31912823,5328259.53126962,111,0,WB COMMERCIAL fs NORTH,43.1069067,-89.35169913,,2
-9946788.70252426,5329216.03266677,112,0,NB PACKERS ns ABERG,43.11317951,-89.35351717,,2
-9946955.64878014,5330100.09218914,113,0,PACKERS at INTERNATIONAL,43.12106047,-89.35498208,,2
-9941700.36813146,5331482.80262609,114,0,EB EAST WASH fs INDEPENDENCE,43.12804261,-89.3078079,,1
-9941794.94348332,5331470.67198995,115,0,WB EAST WASH fs INDEPENDENCE,43.12796308,-89.30865748,,1
-9941160.51602847,5331985.88570965,116,0,EB EAST WASH ns EAST SPRINGS,43.13134081,-89.30295832,,1
-9965009.6769602,5321191.99383422,117,0,MINERAL POINT at HIGH POINT,43.0605373,-89.51719893,,1
-9963933.58996652,5321206.19873678,118,0,MINERAL POINT at WESTFIELD,43.06063053,-89.50753227,,1
-9962743.92112578,5321223.48371709,119,0,MINERAL POINT at GRAND CANYON,43.06074398,-89.4968453,,1
-9961625.69650161,5321232.47616815,120,0,MINERAL POINT at ISLAND,43.060803,-89.48680012,,1
-9960733.56888652,5321235.66244785,121,0,MINERAL POINT at ROSA,43.06082391,-89.478786,,1
-9960030.21055626,5321244.78405745,122,0,MINERAL POINT at WHITNEY,43.06088378,-89.47246763,,1
-9959581.01858882,5322300.46098362,123,0,WHITNEY at REGENT,43.06781216,-89.46843247,,1
-9949612.84148043,5323912.15559533,124,0,WASHINGTON at BLAIR,43.07838816,-89.37888684,,3
-9949020.60075555,5324485.55942033,125,0,WASHINGTON at PATERSON,43.08215041,-89.37356665,,3
-9948219.62213413,5325260.26623984,126,0,WASHINGTON at BALDWIN,43.08723311,-89.36637134,,3
-9947446.1521848,5326004.74741692,127,0,WASHINGTON at FIRST,43.0921171,-89.35942314,,3
-9946830.7909041,5326643.37576228,128,0,WASHINGTON at FOURTH,43.09630636,-89.35389526,,3
-9946287.84202144,5327205.3597325,129,0,WB WASHINGTON fs MILWAUKEE,43.09999261,-89.34901787,,3
-9945509.87242724,5327842.96669635,130,0,WASHINGTON at MARQUETTE,43.10417463,-89.34202925,,1
-9944836.99595623,5328584.33543899,131,0,WASHINGTON at MELVIN,43.10903686,-89.3359847,,1
-9944236.15209249,5329196.90701822,132,0,WASHINGTON at WRIGHT,43.11305409,-89.33058723,,1
-9946965.61096371,5329245.24056971,133,0,SB PACKERS ns ABERG,43.11337105,-89.35510637,,2
-9941229.70738648,5332006.91090216,134,0,WB EAST WASH fs EAST SPRINGS,43.13147864,-89.30357988,,1
-9951882.45903463,5323144.08842528,135,0,WB UNIVERSITY fs E CAMPUS MALL,43.0733483,-89.39927515,,3
-9946965.85859082,5331151.56768966,136,0,PACKERS at ELKA,43.12822957,-89.35673173,,2
-9947933.24001484,5331905.55380897,137,0,NORTHPORT at SHERMAN,43.13081417,-89.36379872,,2
-9948699.35868019,5332362.69056952,138,0,NORTHPORT at TROY,43.13381102,-89.37068088,EB Northport far side Troy in the median,2
-9950121.40308405,5332363.45851604,139,0,TROY at SCHOOL,43.13381605,-89.38345532,,2
-9950621.24172449,5333247.58060811,140,0,NORTHPORT at KENNEDY,43.13961167,-89.38794544,,2
-9951689.57712241,5333156.2205627,141,0,EB MURPHY fs GREEN,43.13901281,-89.39754246,,2
-9966203.80057199,5320871.10786308,142,0,JUNCTION TERMINAL PLATFORM 2,43.05843117,-89.52792592,,1
-9946234.3174265,5327292.47333577,143,0,EB WASHINGTON fs MILWAUKEE,43.100564,-89.34853705,,1
-9942564.42848103,5335016.68745475,144,0,HANSON ROAD TEST PLATFORM,43.15120691,-89.31556988,,1
-9948791.81299186,5332350.00143584,145,0,,43.13372783,-89.37151141,WB Troy far side Northport on the side,2
