X,Y,OBJECTID,Weekday,stop_code,StopMode,stop_name,stop_lat,stop_lon,F28,F38,F55,F60,F61,F62,F63,F64,F65,F75,F80,F81,F82,F84,A,B,C,D,E,F,G,H,J,L,O,P,R,S,W
-9951979.62012029,5323536.77489037,1,3396,10,MB,Langdon at N Park,43.075933,-89.400154,0,0,0,0,0,0,0,0,0,0,3119.54545455,0,276.45454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9966175.41558009,5320709.59789551,2,263.86363636,10001,RB,Junction,43.057379,-89.527677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.04545455,0,0,0,0,60.81818182,0,0,0,0,0,0,0,0,0
-9966191.89080631,5320730.01315874,3,133.13636364,10004,MB,Junction at Park And Ride,43.057513,-89.527825,0,0,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.90909091,0,12.22727273,0,0,0,0,0,0,13.5,0,0
-9965023.14746656,5321193.63449099,4,107.54545455,10013,RB,High Point,43.060556,-89.517326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.54545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9964998.4345775,5321190.89192295,5,105.81818182,10014,RB,High Point,43.060538,-89.517104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.81818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9963943.23706657,5321211.003621,6,16.63636364,10017,RB,Westfield,43.06067,-89.507625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.63636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9963919.86001664,5321205.5185324,7,119.63636364,10018,RB,Westfield,43.060634,-89.507415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.63636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9962752.0073088,5321228.37269933,8,9.81818182,10021,RB,Grand Canyon,43.060784,-89.496924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9962727.29434947,5321222.88771923,9,82.45454545,10022,RB,Grand Canyon,43.060748,-89.496702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.45454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9961633.69162822,5321233.24826335,10,7.90909091,10025,RB,Island,43.060816,-89.486878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9961608.86735322,5321229.13454908,11,53.04545455,10026,RB,Island Eastbound,43.060789,-89.486655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.04545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9960736.45657536,5321239.34273025,12,2.95454545,10029,RB,Rosa,43.060856,-89.478818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9960711.743639,5321235.22901376,13,38.18181818,10030,RB,Rosa,43.060829,-89.478596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.18181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9960045.38514629,5321243.76117665,14,6.77272727,10033,RB,Whitney-Mineral Point,43.060885,-89.47261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9960017.88922353,5321241.01870357,15,24.27272727,10034,RB,Whitney-Mineral Point,43.060867,-89.472363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.27272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9959581.40547619,5322287.49414341,16,3.95454545,10037,RB,Regent-Whitney,43.067735,-89.468442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9959575.95083619,5322312.02704113,17,31.36363636,10038,RB,Regent-Whitney,43.067896,-89.468393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.36363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
