X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,sign_type,jurisdiction_id,relative_position,cardinal_direction,primary_street,address_range,cross_location,PK_OP_WE,start_date,end_date
-9951980.20211845,5323538.34269086,1716,1,0010,Langdon at N Park,This stop (#0010) is westbound on the 898 block of Langdon before N Park,43.075933,-89.400154,1,,0,,,1,1,CMAD,3,270,Langdon,898,N Park,111,20250817,20250817
-9946818.86737017,5326692.32016896,1717,3,E100,E Washington at East High,This flag stop (#E100) is westbound on the 2222 block of E Washington adjacent East High,43.096625,-89.353789,1,,0,,,1,0,CMAD,2,270,E Washington,2222,East High,100,20250817,20250817
-9955074.99836476,5322337.96956648,1718,5,W200,Regent at West High,This flag stop (#W200) is westbound on the 2400 block of Regent adjacent West High,43.068056,-89.427955,1,,0,,,1,0,CMAD,2,270,Regent,2400,West High,100,20250817,20250817
-9954862.93471225,5322302.00853013,1719,6,W299,Regent at West High,This flag stop (#W299) is eastbound on the 2299 block of Regent opposite West High,43.06782,-89.42605,1,,0,,,1,0,CMAD,4,90,Regent,2299,West High,100,20250817,20250817
-9963361.73597149,5321719.16550468,1720,10,M600,S Gammon at Memorial High,This flag stop (#M600) is northbound on the 201 block of S Gammon adjacent Memorial High,43.063995,-89.502396,1,,0,,,1,0,CMAD,2,0,S Gammon,201,Memorial High,100,20250817,20250817
-9964991.91219283,5316757.82343318,1721,11,M601,Mid Town at Province Hill,This flag stop (#M601) is eastbound on the 7501 block of Mid Town opposite Province Hill,43.031425,-89.51704,1,,0,,,0,0,CMAD,4,90,Mid Town,7501,Province Hill,100,20250817,20250817
-9951577.12058603,5320254.72656359,1722,12,0107,S Park at W Olin,This stop (#0107) is northbound on the 1117 block of S Park after W Olin,43.054383,-89.396533,1,,0,,,1,1,CMAD,1,0,S Park,1117,W Olin,111,20250817,20250817
-9943068.96760645,5321445.24148998,1723,13,L700,Pflaum at Lafollette High,This flag stop (#L700) is westbound on the 702 block of Pflaum adjacent Lafollette High,43.062197,-89.320103,1,,0,,,1,0,CMAD,2,270,Pflaum,702,Lafollette High,100,20250817,20250817
-9950255.52895745,5323552.82334917,1724,17,1100,E Mifflin at N Pinckney,This stop (#1100) is westbound on the 98 block of E Mifflin after N Pinckney,43.076028,-89.384661,1,,0,,,1,1,CMAD,1,270,E Mifflin,98,N Pinckney,111,20250817,20250817
-9950156.67807184,5323136.63097716,1725,18,1101,W Main at S Carroll,This stop (#1101) is eastbound on the 99 block of W Main after S Carroll,43.073297,-89.383773,1,,0,,,1,1,CMAD,1,90,W Main,99,S Carroll,111,20250817,20250817
-9943746.22629201,5326912.16164114,1726,19,1105,Milwaukee at Walter,This stop (#1105) is eastbound on the 3509 block of Milwaukee after Walter,43.098067,-89.326187,1,,0,,,1,1,CMAD,1,90,Milwaukee,3509,Walter,111,20250817,20250817
-9947933.73220913,5326697.19650994,1727,42,1116,Fordem at Lakewood,This stop (#1116) is southbound on the 1898 block of Fordem after Lakewood,43.096657,-89.363804,1,,0,,,1,1,CMAD,1,180,Fordem,1898,Lakewood,111,20250817,20250817
-9949533.50862886,5324605.8088696,1728,44,1121,E Johnson at N Livingston,This stop (#1121) is eastbound on the 799 block of E Johnson before N Livingston,43.082937,-89.378175,1,,0,,,1,1,CMAD,3,90,E Johnson,799,N Livingston,111,20250817,20250817
-9947953.09798234,5328752.91130057,1729,45,1122,N Sherman at Oxford,This stop (#1122) is southbound on the 1000 block of N Sherman before Oxford,43.11014,-89.363978,1,,0,,,1,1,CMAD,3,180,N Sherman,1000,Oxford,111,20250817,20250817
-9947332.94086031,5326751.31765463,1730,48,1131,E Johnson at N Third,This stop (#1131) is eastbound on the 2101 block of E Johnson after N Third,43.097012,-89.358407,1,,0,,,1,1,CMAD,1,90,E Johnson,2101,N Third,111,20250817,20250817
-9945802.63086449,5327189.78057746,1731,49,1137,Milwaukee at Corry,This stop (#1137) is eastbound on the 2701 block of Milwaukee after Corry,43.099888,-89.34466,1,,0,,,1,1,CMAD,1,90,Milwaukee,2701,Corry,111,20250817,20250817
-9950044.91093387,5324341.36965099,1732,50,1138,E Gorham at N Blair,This stop (#1138) is westbound on the 598 block of E Gorham after N Blair,43.081202,-89.382769,1,,0,,,1,1,CMAD,1,270,E Gorham,598,N Blair,111,20250817,20250817
-9952043.6566953,5322326.8507255,1733,52,0115,N Park at Regent,This stop (#0115) is northbound on the 21 block of N Park after Regent,43.067983,-89.400724,1,,0,,,1,1,CMAD,1,0,N Park,21,Regent,111,20250817,20250817
-9949311.31681799,5323576.90394797,1734,53,1150,E Wilson at S Blair,This stop (#1150) is westbound on the 598 block of E Wilson after S Blair,43.076186,-89.376179,1,,0,,,1,1,CMAD,1,270,E Wilson,598,S Blair,111,20250817,20250817
-9949273.57712884,5324851.35514663,1735,58,1151,E Johnson at N Paterson,This stop (#1151) is eastbound on the 901 block of E Johnson after N Paterson,43.084548,-89.37584,1,,0,,,1,1,CMAD,1,90,E Johnson,901,N Paterson,111,20250817,20250817
-9943783.74156033,5326531.33946278,1736,59,1153,Walter at Dawes,This stop (#1153) is northbound on the 101 block of Walter before Dawes,43.095569,-89.326524,1,,0,,,1,1,CMAD,3,0,Walter,101,Dawes,111,20250817,20250817
-9947961.67050858,5328266.95764466,1737,61,1156,N Sherman at Commercial,This stop (#1156) is southbound on the 600 block of N Sherman before Commercial,43.106953,-89.364055,1,,0,,,1,1,VMAP,3,180,N Sherman,600,Commercial,111,20250817,20250817
-9947222.84551634,5326910.93575494,1738,63,1160,E Johnson at N Fourth,This stop (#1160) is westbound on the 2198 block of E Johnson after N Fourth,43.098059,-89.357418,1,,0,,,1,1,CMAD,1,270,E Johnson,2198,N Fourth,111,20250817,20250817
-9950340.80034946,5323191.18733819,1739,64,1163,W Washington at S Carroll,This stop (#1163) is eastbound on the 101 block of W Washington before S Carroll,43.073655,-89.385427,1,,0,,,1,1,CMAD,3,90,W Washington,101,S Carroll,111,20250817,20250817
-9948622.69388376,5323833.09216021,1740,66,1167,Jenifer at S Livingston,This stop (#1167) is eastbound on the 801 block of Jenifer after S Livingston,43.077867,-89.369993,1,,0,,,1,1,CMAD,1,90,Jenifer,801,S Livingston,111,20250817,20250817
-9944150.31822219,5325637.73309869,1741,67,1169,Atwood at Walter,This stop (#1169) is northbound on the 3498 block of Atwood after Walter,43.089707,-89.329817,1,,0,,,1,1,CMAD,1,0,Atwood,3498,Walter,111,20250817,20250817
-9947914.47392179,5326736.68130383,1742,68,1177,Fordem at Lakewood,This stop (#1177) is northbound on the 1899 block of Fordem before Lakewood,43.096916,-89.363631,1,,0,,,1,1,CMAD,3,0,Fordem,1899,Lakewood,111,20250817,20250817
-9947011.8968735,5325955.40409328,1743,69,1188,Winnebago at Atwood,This stop (#1188) is southbound on the 1998 block of Winnebago after Atwood,43.091791,-89.355523,1,,0,,,1,1,CMAD,1,180,Winnebago,1998,Atwood,111,20250817,20250817
-9948292.63083453,5324194.44863746,1744,70,1190,Jenifer at S Brearly,This stop (#1190) is westbound on the 1000 block of Jenifer before S Brearly,43.080238,-89.367028,1,,0,,,1,1,CMAD,3,270,Jenifer,1000,S Brearly,111,20250817,20250817
-9948683.14046481,5323815.41324676,1745,82,1194,Jenifer at S Livingston,This stop (#1194) is westbound on the 800 block of Jenifer before S Livingston,43.077751,-89.370536,1,,0,,,1,1,CMAD,3,270,Jenifer,800,S Livingston,111,20250817,20250817
-9940823.19515889,5329303.25570142,1746,88,E949,Sycamore at Wayridge,This flag stop (#E949) is eastbound on the 4801 block of Sycamore after Wayridge,43.113749,-89.299929,1,,0,,,0,0,CMAD,1,90,Sycamore,4801,Wayridge,100,20250817,20250817
